3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	AWPR_REPRO	CUDI_CODE_REPRO	CULT_CODE_REPRO	CUNO_CODE_REPRO	LLT_CODE	PLT_CODE_POST	SDHT_CODE	APANTH_REPRO	APSH	APCO_REV_POST	APCO_REV_REPRO	AWCO_LREV	AWCO_REV	AWDIST	BLANTHPR_VEG	BLANTHDI_VEG	BLPUB_VEG	BLSCO_ANTH_VEG	BLSCO_REV_VEG	CCO_REV_VEG	CUAN_REPRO	ENDO	FLA_EREPRO	FLA_REPRO	INANTH	LIGCO_REV_VEG	LIGSH	LPCO_REV_POST	LPPUB	LSEN	NOANTH	PEX_REPRO	PTH	SCCO_REV	SECOND_BR_REPRO	SLCO_REV	SPKF	SLLT_CODE	AUCO_REV_VEG	BLCO_REV_VEG	CUST_REPRO	INCO_REV_REPRO	LA	NOCO_REV	PA_REPRO	PSH	PTY
IRIS_313-11310	ARC_15929::IRGC_43269-2	0.0	2.0	5.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	53.0	2.0	7.0		7.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	61.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11311	CICIH_KAPUK::IRGC_43377-3	9.0	2.0	6.0	2.0	4.0	4.0	1.0				20.0		20.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	20.0	3.0	9.0		9.0	1.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	4.0	60.0	2.0		2.0	1.0	5.0
IRIS_313-11312	PADI_HITAM::IRGC_43496-3	0.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		0.0				3.0		84.0	80.0	3.0	1.0		3.0		84.0	3.0	82.0	4.0	5.0		9.0	3.0	10.0	1.0	80.0	3.0	1.0	80.0	60.0	9.0	41.0	1.0		2.0	1.0	5.0
IRIS_313-11313	PADI_RENDAH::IRGC_43515-1	0.0	2.0	4.0	2.0	3.0	3.0	1.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	2.0	9.0		7.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	60.0	1.0		2.0	1.0	5.0
IRIS_313-11314	PELAU::IRGC_43538-2	0.0	2.0	6.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	9.0		9.0	3.0	10.0	1.0	20.0	3.0	3.0	61.0	63.0	1.0	60.0	1.0		2.0	1.0	5.0
IRIS_313-11270	ARC_14663::IRGC_41671-2	0.0	2.0	6.0	2.0	3.0	4.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	91.0	3.0	9.0		9.0	3.0	10.0	1.0	80.0	4.0	3.0	61.0	61.0	3.0	60.0	5.0		2.0	1.0	5.0
IRIS_313-11315	PENDEK_LAYUNG::IRGC_43542-2	0.0	2.0	6.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	2.0	7.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	5.0	41.0	3.0		2.0	1.0	5.0
IRIS_313-11316	RANTAT::IRGC_43563-3	0.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		0.0				3.0		84.0	60.0	3.0	1.0		5.0		84.0	3.0	20.0	3.0	9.0		9.0	1.0	10.0	1.0	20.0	3.0	1.0	61.0	60.0	6.0	41.0	1.0		2.0	1.0	5.0
IRIS_313-11317	SI_RANTING::IRGC_43645-2	1.0	2.0	7.0	2.0	4.0	3.0	2.0				20.0		20.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	5.0		7.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	61.0	5.0	60.0	5.0		2.0	1.0	5.0
IRIS_313-11318	TUBU::IRGC_43677-2	0.0	2.0	6.0	2.0	4.0	2.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	9.0		9.0	1.0	10.0	1.0	20.0	3.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11319	KENCANA_RANDAH::IRGC_43709-2	0.0	2.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	42.0	4.0	5.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11320	MAYAS_PUTIH::IRGC_43727-2	0.0	2.0	5.0	2.0	4.0	3.0	1.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	9.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	9.0
IRIS_313-11321	GANDHISAIL::IRGC_43826-2	0.0	2.0	6.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	54.0	4.0	9.0		9.0	1.0	70.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	60.0	5.0		2.0	1.0	9.0
IRIS_313-11322	JASURE_AUS::IRGC_43860-1	0.0	2.0	6.0	2.0	3.0	3.0	2.0				10.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	9.0		9.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	61.0	3.0	60.0	5.0		2.0	1.0	5.0
IRIS_313-11323	JHORA::IRGC_43862-1	7.0	2.0	5.0	3.0	3.0	3.0	1.0				80.0		20.0				3.0		84.0	61.0	5.0	1.0		3.0		11.0	3.0	20.0	2.0	7.0		9.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	41.0	4.0		2.0	3.0	5.0
IRIS_313-11324	KALABOKRI::IRGC_43872-1								5.0	1.0	80.0	80.0	0.0	0.0		1.0	86.0	3.0	0.0	60.0	61.0	3.0		3.0	3.0	84.0	11.0	3.0	54.0	4.0	7.0	84.0	7.0	3.0		1.0	80.0	4.0	5.0	62.0	60.0	7.0	60.0	5.0	60.0	3.0	1.0	5.0
IRIS_313-11271	ARC_14737::IRGC_41729-2	0.0	2.0	6.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	3.0	9.0		9.0	3.0	70.0	1.0	20.0	3.0	1.0	61.0	60.0	3.0	41.0	1.0		2.0	1.0	9.0
